AatII
AgeI
BaeI
BamHI-HF
BbsI
BglII
BsaI-HF
BstBI
DpnI
DpnII
EcoP15I
HindIII
KpnI
MslI
NotI
Nt.BstNBI
SmlI
SspI
XbaI
XhoI
DpnII,EcoP15I
DpnII,BglII
KpnI,EcoP15I
KpnI,BglII
SmlI,BglII
SmlI,BaeI
XhoI,BaeI
XhoI,KpnI
AatII,AgeI
BsaI-HF,HindIII
XbaI,SmlI
XbaI,NotI
XbaI,XhoI
BstBI,BglII
BstBI,NotI
AatII,HindIII
AatII,MslI
BamHI-HF,KpnI
Nt.BstNBI,XbaI
